MI,No.overlap
0.427660386,10870
0.582000126,14558
0.610914548,15243
0.326534849,8446
0.358560957,9209
0.20845616,5624
0.276490522,7242
0.506933455,12688
0.370455875,9421
0.150024617,4197
0.351079496,8937
0.330209282,8434
0.506307932,12550
0.756917814,18388
0.051595688,1844
0.395879198,9900
0.667454593,16225
0.214608988,5646
0.651418573,15840
0.536433659,13146
0.253883424,6531
0.252135085,6490
0.271113615,6921
0.445266915,10921
0.255155442,6524
0.03374313,1404
0.313206785,7841
0.311152748,7780
0.019835184,1081
0.453942713,11048
0.680305029,16224
0.467210737,11325
0.563954749,13534
0.301393624,7522
0.665931896,15857
0.251971271,6385
0.674108704,16039
0.107124954,3069
0.637579149,15146
0.080538533,2452
0.230878082,5869
0.265081146,6645
0.214583823,5495
0.063032497,2050
0.40425942,9784
0.073098687,2270
0.401909203,9706
0.445703825,10693
0.602051676,14228
0.257040494,6424
0.417489783,10044
0.246951332,6182
0.63082557,14801
0.401392429,9598
0.240329011,5984
0.575516829,13481
0.422976911,10050
0.207939019,5226
0.189132856,4800
0.425479772,10025
0.373175937,8853
0.23381279,5764
0.627166216,14437
0.497743626,11575
0.817789081,18590
0.430002065,10051
0.329583953,7839
0.437836303,10210
0.31545042,7484
0.174493479,4401
0.519135016,11917
0.444986726,10291
0.194814999,4834
0.432545188,10009
0.477840128,10978
0.317516281,7492
0.478881779,10995
0.132937775,3473
0.369097932,8583
0.349781159,8163
0.516542112,11761
0.568833095,12889
0.209098523,5100
0.441215521,10104
0.51438918,11661
0.136929145,3528
1.038839432,22894
0.453552703,10320
0.234359376,5598
0.545160459,12210
0.498145151,11204
0.396985598,9043
0.076410121,2201
0.284575506,6616
0.771212128,16932
0.506924151,11325
0.27738379,6452
0.61650944,13626
0.406278202,9162
0.063614763,1917
0.488472742,10861
0.101822091,2716
0.216425209,5124
0.282481461,6507
0.271090394,6260
0.394032238,8837
0.224178913,5272
0.342009708,7729
0.599417312,13110
0.46178802,10221
0.33130125,7481
0.470507068,10382
0.355370206,7975
0.453909639,10015
0.360484848,8059
0.213781454,5008
0.579418044,12597
0.218704898,5087
0.382966863,8481
0.194707964,4579
0.609495645,13073
0.124053842,3101
0.106602712,2743
0.659643686,13965
0.585154754,12450
0.445320831,9600
0.501568865,10736
0.19598095,4524
0.357984353,7788
0.583870355,12355
0.260113681,5803
0.545350399,11560
0.64916245,13652
0.376236083,8110
0.283053616,6225
0.246064545,5482
0.276118518,6078
0.483503243,10227
0.615571344,12838
0.579817181,12087
0.214548139,4813
0.553134027,11453
0.348434577,7402
0.436955196,9105
0.390911856,8200
0.248247871,5401
0.526898963,10856
0.189436347,4236
0.479684684,9902
0.399332106,8325
0.302667878,6438
