gene_id,cell type,type
FAM57A,HMEC,OSE
ETV5,HMEC,OSE
SDC4,HMEC,OSE
ELOVL5,HMEC,OSE
AJ606328,HMEC,OSE
SNCA,HMEC,OSE
ACTR3,HMEC,OSE
KIAA0564,HMEC,OSE
MYNN,HMEC,OSE
RAD51L1,HMEC,OSE
EPHA2,HMEC,OSE
STOM,HMEC,OSE
CXorf15,HMEC,OSE
TP63,HMEC,OSE
RAG1AP1,HMEC,OSE
BTG3,HMEC,OSE
MSL2,HMEC,OSE
MAPK1,HMEC,OSE
NFKB1,HMEC,OSE
SRD5A1,HMEC,OSE
DLC1,HMEC,OSE
PFDN1,HMEC,OSE
LRRC8A,HMEC,OSE
NSA2,HMEC,OSE
ARL6IP5,HMEC,OSE
HMGA2,HMEC,OSE
MBD6,HMEC,OSE
FER,HMEC,OSE
PTTG1,HMEC,OSE
HIST1H1E,HMEC,OSE
MNAT1,HMEC,OSE
HNRNPUL2,HMEC,OSE
YTHDC1,HMEC,OSE
FHDC1,HMEC,OSE
ZNF526,HMEC,OSE
ADH5,HMEC,OSE
SEMA3F,HMEC,OSE
GLUD1,HMEC,OSE
MGME1,HMEC,OSE
RNF144B,HMEC,OSE
AJ606331,HMEC,OSE
DGUOK,HMEC,OSE
MAK10,HMEC,OSE
PSMB2,HMEC,OSE
SSRP1,HMEC,OSE
C20orf72,HMEC,OSE
NRIP1,HMEC,OSE
ADAM10,HMEC,OSE
MSN,HMEC,OSE
RIPK2,HMEC,OSE
ODZ2,HMEC,OSE
HIST1H2AJ,HMEC,OSE
FAM83B,HMEC,OSE
ASAM,HMEC,OSE
HIST1H2AC,HMEC,OSE
RAB36,HMEC,OSE
BCL2L13,HMEC,OSE
GRHL3,HMEC,OSE
HADHB,HMEC,OSE
CDR2,HMEC,OSE
CPNE1,HMEC,OSE
RAB38,HMEC,OSE
LDHA,HMEC,OSE
SIN3A,HMEC,OSE
LINC00886,HMEC,OSE
CUBN,HMEC,OSE
PLAU,HMEC,OSE
OSTCL,HMEC,OSE
TNC,HMEC,OSE
C10ORF55,HMEC,OSE
BCL10,HMEC,OSE
FOXN2,HMEC,OSE
AX747251,HMEC,OSE
BC015784,HMEC,OSE
PLEKHG3,HMEC,OSE
RNF167,HMEC,OSE
TAB2,HMEC,OSE
UPF3A,HMEC,OSE
GNA12,HMEC,OSE
ZFP57,HMEC,OSE
SCAF1,HMEC,OSE
HIST1H4B,HUVEC,CSE
HIST1H4A,HUVEC,CSE
MOV10,HUVEC,CSE
PRKAG2,HUVEC,CSE
FKBP5,HUVEC,CSE
THBS1,HUVEC,CSE
UQCC,HUVEC,CSE
LEMD2,HUVEC,CSE
C6orf125,HUVEC,CSE
SMG6,HUVEC,CSE
PTGER4,HUVEC,CSE
APBB2,HUVEC,CSE
ARHGEF12,HUVEC,CSE
DYSF,HUVEC,CSE
PPP2R2A,HUVEC,CSE
BCAT1,HUVEC,CSE
MTUS1,HUVEC,CSE
ABLIM1,HUVEC,CSE
GATA6,HUVEC,CSE
GATA2,HUVEC,CSE
GATA3,HUVEC,CSE
GALNT10,HUVEC,CSE
AKAP2,HUVEC,CSE
HIPK2,HUVEC,CSE
CCND1,HUVEC,CSE
DDX47,HUVEC,CSE
AHR,HUVEC,CSE
MID1,HUVEC,CSE
ANGPTL4,HUVEC,CSE
ENC1,HUVEC,CSE
ARHGAP10,HUVEC,CSE
TCF12,HUVEC,CSE
CSRP1,HUVEC,CSE
MMP14,HUVEC,CSE
ACVR1B,HUVEC,CSE
CDKN1B,HUVEC,CSE
ANO6,HUVEC,CSE
ITGA5,HUVEC,CSE
C14orf43,HUVEC,CSE
GABBR2,HUVEC,CSE
PHLDA1,HUVEC,CSE
SERPINE1,HUVEC,CSE
SOX17,HUVEC,CSE
FBXL13,HUVEC,CSE
HRH1,HUVEC,CSE
KSR1,HUVEC,CSE
GRM7,HUVEC,CSE
PDLIM4,HUVEC,CSE
PDLIM7,HUVEC,CSE
HOXB3,HUVEC,CSE
DST,HUVEC,CSE
UCK2,HUVEC,CSE
HOXB4,HUVEC,CSE
COL4A2,HUVEC,CSE
KIAA1949,HUVEC,CSE
MTHFD1L,HUVEC,CSE
CCDC85B,HUVEC,CSE
WDFY3,HUVEC,CSE
ASAP2,HUVEC,CSE
FLNB,HUVEC,CSE
FOXC2,HUVEC,CSE
FOXC1,HUVEC,CSE
ATXN1,HUVEC,CSE
SMAD6,HUVEC,CSE
LETM2,HUVEC,CSE
ITPR2,HUVEC,CSE
AKAP13,HUVEC,CSE
RGMB,HUVEC,CSE
DONSON,HUVEC,CSE
NEDD9,HUVEC,CSE
NCOA7,HUVEC,CSE
NCOA4,HUVEC,CSE
NR2F1,HUVEC,CSE
NR2F2,HUVEC,CSE
DLGAP1,HUVEC,CSE
SAP30BP,HUVEC,CSE
SERPIND1,HUVEC,CSE
ELMSAN1,HUVEC,CSE
C10orf10,HUVEC,CSE
LAMA4,HUVEC,CSE
MCAM,HUVEC,CSE
SH2B3,HUVEC,CSE
ABCA4,HUVEC,CSE
NTM,HUVEC,CSE
HOXA10-HOXA9,HUVEC,CSE
TOX,HUVEC,CSE
IGF1R,HUVEC,CSE
ERG,HUVEC,CSE
TTC7B,HUVEC,CSE
TTC7A,HUVEC,CSE
SH2D3C,HUVEC,CSE
HOXD8,HUVEC,CSE
MYOF,HUVEC,CSE
DDX10,HUVEC,CSE
TMEM212,HUVEC,CSE
PEAR1,HUVEC,CSE
CDK17,HUVEC,CSE
GPR126,HUVEC,CSE
KLF6,HUVEC,CSE
KLF3,HUVEC,CSE
SIPA1L3,HUVEC,CSE
JAG1,HUVEC,CSE
CYR61,HUVEC,CSE
LTBP1,HUVEC,CSE
ITGB6,HUVEC,CSE
ABR,HUVEC,CSE
SUFU,HUVEC,CSE
TRIP10,HUVEC,CSE
NRP1,HUVEC,CSE
NRP2,HUVEC,CSE
SASH1,HUVEC,CSE
MAP4K4,HUVEC,CSE
EXOC6,HUVEC,CSE
BNC2,HUVEC,CSE
MAPKBP1,HUVEC,CSE
DKK1,HUVEC,CSE
RND3,HUVEC,CSE
TGM2,HUVEC,CSE
TUSC2,HUVEC,CSE
SLC25A25,HUVEC,CSE
TSPAN14,HUVEC,CSE
MLLT1,HUVEC,CSE
DAB2,HUVEC,CSE
MICA,HUVEC,CSE
RARA,HUVEC,CSE
ADAMTS6,HUVEC,CSE
FILIP1L,HUVEC,CSE
RAI1,HUVEC,CSE
NFE2L2,HUVEC,CSE
CDH5,HUVEC,CSE
HMG20A,HUVEC,CSE
HPCAL1,HUVEC,CSE
C4orf18,HUVEC,CSE
EXT1,HUVEC,CSE
RGS3,HUVEC,CSE
FAM69B,HUVEC,CSE
REV3L,HUVEC,CSE
SSH2,HUVEC,CSE
SSH1,HUVEC,CSE
LOC100131060,HUVEC,CSE
APP,HUVEC,CSE
RFX2,HUVEC,CSE
CSF3,HUVEC,CSE
ELK3,HUVEC,CSE
TMEM49,HUVEC,CSE
C14orf4,HUVEC,CSE
DDAH1,HUVEC,CSE
ERAP2,HUVEC,CSE
COPS8,HUVEC,CSE
FOXP1,HUVEC,CSE
SCHIP1,HUVEC,CSE
TRIB1,HUVEC,CSE
LAMB1,HUVEC,CSE
LINC00607,HUVEC,CSE
NEK7,HUVEC,CSE
PALMD,HUVEC,CSE
RAB11B,HUVEC,CSE
C6orf145,HUVEC,CSE
FAM129B,HUVEC,CSE
ANGPT2,HUVEC,CSE
BMX,HUVEC,CSE
AX747619,HUVEC,CSE
TXNRD2,HUVEC,CSE
TCF4,HUVEC,CSE
ARID2,HUVEC,CSE
SHB,HUVEC,CSE
TK2,HUVEC,CSE
SHE,HUVEC,CSE
HOXA-AS4,HUVEC,CSE
PHLDB2,HUVEC,CSE
BCAR1,HUVEC,CSE
BCAR3,HUVEC,CSE
GJA1,HUVEC,CSE
PNKD,HUVEC,CSE
SH3TC2,HUVEC,CSE
BTD,HUVEC,CSE
PCDH10,HUVEC,CSE
CDKAL1,HUVEC,CSE
PDGFRA,HUVEC,CSE
PI4KA,HUVEC,CSE
SCN10A,HUVEC,CSE
PDGFRL,HUVEC,CSE
SH3BP5,HUVEC,CSE
SAMD4A,HUVEC,CSE
FLT1,HUVEC,CSE
MECOM,HUVEC,CSE
ALCAM,HUVEC,CSE
S1PR1,HUVEC,CSE
TPM1,HUVEC,CSE
CFLAR,HUVEC,CSE
ZNF341,HUVEC,CSE
DOT1L,HUVEC,CSE
DNMBP,HUVEC,CSE
ZNF438,HUVEC,CSE
VGLL4,HUVEC,CSE
TNFSF4,HUVEC,CSE
TRIO,HUVEC,CSE
SH3RF3,HUVEC,CSE
NLGN1,HUVEC,CSE
MIR100HG,HUVEC,CSE
TXN2,HUVEC,CSE
AGAP3,HUVEC,CSE
IGF2BP3,HUVEC,CSE
IGF2BP2,HUVEC,CSE
TJP2,HUVEC,CSE
LRRFIP1,HUVEC,CSE
LRRC32,HUVEC,CSE
NRARP,HUVEC,CSE
HOXA7,HUVEC,CSE
HOXA6,HUVEC,CSE
HOXA5,HUVEC,CSE
TRAM2,HUVEC,CSE
HOXA3,HUVEC,CSE
NSMCE1,HUVEC,CSE
CDK6,HUVEC,CSE
HOXA9,HUVEC,CSE
TGFB2,HUVEC,CSE
STAB1,HUVEC,CSE
PHF12,HUVEC,CSE
MGLL,HUVEC,CSE
LIMS1,HUVEC,CSE
ECE1,HUVEC,CSE
BBC3,HUVEC,CSE
SOX7,HUVEC,CSE
IQGAP2,HUVEC,CSE
MIR196B,HUVEC,CSE
YWHAZ,HUVEC,CSE
LOXL2,HUVEC,CSE
XXYLT1,HUVEC,CSE
RGL1,HUVEC,CSE
MMRN2,HUVEC,CSE
MMRN1,HUVEC,CSE
FYN,HUVEC,CSE
PFKP,HUVEC,CSE
FASTK,HUVEC,CSE
MGC87042,HUVEC,CSE
PRKCH,HUVEC,CSE
ST3GAL1,HUVEC,CSE
TECPR1,HUVEC,CSE
PRKCE,HUVEC,CSE
HIST1H3A,HUVEC,CSE
MGAT5,HUVEC,CSE
LMNA,HUVEC,CSE
CALD1,HUVEC,CSE
DCBLD1,HUVEC,CSE
CRIM1,HUVEC,CSE
NRM,HUVEC,CSE
GULP1,HUVEC,CSE
C20ORF112,HUVEC,CSE
TBC1D22A,HUVEC,CSE
FIBP,HUVEC,CSE
BOLA2,HUVEC,CSE
TGIF1,HUVEC,CSE
NISCH,HUVEC,CSE
CD34,HUVEC,CSE
ERGIC1,HUVEC,CSE
PODXL,HUVEC,CSE
MYL4,HUVEC,CSE
CLEC14A,HUVEC,CSE
RAPGEF1,HUVEC,CSE
CAV1,HUVEC,CSE
PPP1R3B,HUVEC,CSE
BHLHE40,HUVEC,CSE
FMNL3,HUVEC,CSE
RORA,HUVEC,CSE
IRF2BP2,HUVEC,CSE
MARCKS,HUVEC,CSE
MBNL2,HUVEC,CSE
BC043355,HUVEC,CSE
EVA1C,HUVEC,CSE
ZMYND8,HUVEC,CSE
PER1,HUVEC,CSE
FLRT2,HUVEC,CSE
IQCJ-SCHIP1,HUVEC,CSE
TCF7L2,HUVEC,CSE
THADA,HUVEC,CSE
RUNX1,HUVEC,CSE
PRSS23,HUVEC,CSE
MYO5A,HUVEC,CSE
LOC100616530,HUVEC,CSE
DOCK9,HUVEC,CSE
DOCK2,HUVEC,CSE
HSPG2,HUVEC,CSE
MED24,HUVEC,CSE
DOCK4,HUVEC,CSE
ZFP91,HUVEC,CSE
CMIP,HUVEC,CSE
JUB,HUVEC,CSE
PPM1F,HUVEC,CSE
MAML2,HUVEC,CSE
MET,HUVEC,CSE
ZFP36,HUVEC,CSE
AFF1,HUVEC,CSE
PPM1H,HUVEC,CSE
MALL,HUVEC,CSE
HOXA4,HUVEC,CSE
JMJD1C,HUVEC,CSE
FNDC3B,HUVEC,CSE
THSD4,HUVEC,CSE
MYO9B,HUVEC,CSE
EPHB2,HUVEC,CSE
PLCB1,HUVEC,CSE
FRMD8,HUVEC,CSE
FRMD5,HUVEC,CSE
APOLD1,HUVEC,CSE
GNAQ,HUVEC,CSE
ATOX1,HUVEC,CSE
TNFRSF1A,HUVEC,CSE
ZNF618,HUVEC,CSE
NNMT,HUVEC,CSE
SOGA2,HUVEC,CSE
MIR1469,HUVEC,CSE
DPF3,HUVEC,CSE
SEC14L2,HUVEC,CSE
SEC14L1,HUVEC,CSE
TINAGL1,HUVEC,CSE
BTBD19,HUVEC,CSE
SVIL,HUVEC,CSE
CD9,HUVEC,CSE
BCR,HUVEC,CSE
CBLN3,HUVEC,CSE
HOXA11,HUVEC,CSE
HOXA10,HUVEC,CSE
FHL2,HUVEC,CSE
FHL3,HUVEC,CSE
PDE7B,HUVEC,CSE
FOSL1,HUVEC,CSE
ICAM2,HUVEC,CSE
FOSL2,HUVEC,CSE
EFNA5,HUVEC,CSE
GPR108,HUVEC,CSE
MAST4,HUVEC,CSE
ARHGAP29,HUVEC,CSE
RBFOX2,HUVEC,CSE
GALNT15,HUVEC,CSE
C5orf39,HUVEC,CSE
SGK1,HUVEC,CSE
PLXNA2,HUVEC,CSE
MIR3134,HUVEC,CSE
PLXNA4,HUVEC,CSE
CD274,HUVEC,CSE
ZMIZ1,HUVEC,CSE
PDE4D,HUVEC,CSE
ASAP1,HUVEC,CSE
CCDC85A,HUVEC,CSE
CDH13,HUVEC,CSE
CAMK1D,HUVEC,CSE
LIMK2,HUVEC,CSE
MAP2K3,HUVEC,CSE
CORO1C,HUVEC,CSE
FOXO1,HUVEC,CSE
RBMS3,HUVEC,CSE
RBMS2,HUVEC,CSE
TMUB1,HUVEC,CSE
TEAD1,HUVEC,CSE
SEMA6D,HUVEC,CSE
SPTBN1,HUVEC,CSE
ANKRD11,HUVEC,CSE
VEPH1,HUVEC,CSE
NPAS2,HUVEC,CSE
RGS5,HUVEC,CSE
AJ606316,HUVEC,CSE
SYNJ2,HUVEC,CSE
NRG1,HUVEC,CSE
MBP,HUVEC,CSE
GIT1,HUVEC,CSE
ANXA2,HUVEC,CSE
CALCRL,HUVEC,CSE
FLI1,HUVEC,CSE
KIAA0323,HUVEC,CSE
NUMB,HUVEC,CSE
TMBIM1,HUVEC,CSE
MIDN,HUVEC,CSE
G0S24,HUVEC,CSE
C3orf21,HUVEC,CSE
ABCC4,HUVEC,CSE
LOC728730,HUVEC,CSE
BCL6,HUVEC,CSE
SDCBP2,HUVEC,CSE
HTR1B,HUVEC,CSE
BCL2L1,HUVEC,CSE
TIMP2,HUVEC,CSE
NRCAM,HUVEC,CSE
PLK3,HUVEC,CSE
ATP9A,HUVEC,CSE
S100A10,HUVEC,CSE
PKD1L1,HUVEC,CSE
PALM2-AKAP2,HUVEC,CSE
GRK5,HUVEC,CSE
WHSC1L1,HUVEC,CSE
MICAL2,HUVEC,CSE
NAV2,HUVEC,CSE
CAPN2,HUVEC,CSE
ARHGAP24,HUVEC,CSE
EDN1,HUVEC,CSE
MYC,HUVEC,CSE
MYO1D,HUVEC,CSE
TANC1,HUVEC,CSE
BMP6,HUVEC,CSE
HYAL2,HUVEC,CSE
CCNY,HUVEC,CSE
EGFL7,HUVEC,CSE
TMEM189-UBE2V1,HUVEC,CSE
EXD3,HUVEC,CSE
UBC,HUVEC,CSE
STC2,HUVEC,CSE
FOXK1,HUVEC,CSE
MACF1,HUVEC,CSE
RASSF4,HUVEC,CSE
HOXA-AS3,HUVEC,CSE
CHD2,HUVEC,CSE
CDV3,HUVEC,CSE
HAUS8,HUVEC,CSE
PREX1,HUVEC,CSE
CHD9,HUVEC,CSE
MNT,HUVEC,CSE
HDDC3,HUVEC,CSE
ZBTB38,HUVEC,CSE
ACVRL1,HUVEC,CSE
C6orf1,HUVEC,CSE
SDCBP2-AS1,HUVEC,CSE
PLEC,HUVEC,CSE
RHOC,HUVEC,CSE
ITPR3,HUVEC,CSE
EFHC1,HUVEC,CSE
CMSS1,HUVEC,CSE
SLC25A45,HUVEC,CSE
SNCG,HUVEC,CSE
SPOCK1,HUVEC,CSE
MCPH1,HUVEC,CSE
CLDN11,HUVEC,CSE
EHD1,HUVEC,CSE
NFATC1,HUVEC,CSE
EPHA2,HUVEC,CSE
MAPK13,HUVEC,CSE
ABL1,HUVEC,CSE
GNAI2,HUVEC,CSE
NCOR2,HUVEC,CSE
TNPO1,HUVEC,CSE
TRMT1,HUVEC,CSE
PML,HUVEC,CSE
DUSP1,HUVEC,CSE
PFDN1,HUVEC,CSE
SPATS2,HUVEC,CSE
LYL1,HUVEC,CSE
LRRC8C,HUVEC,CSE
ZFP36L1,HUVEC,CSE
ZFP36L2,HUVEC,CSE
HMGA1,HUVEC,CSE
BCOR,HUVEC,CSE
ANKS1A,HUVEC,CSE
GOPC,HUVEC,CSE
SEMA3F,HUVEC,CSE
WWTR1,HUVEC,CSE
TACC1,HUVEC,CSE
TACC2,HUVEC,CSE
PLGRKT,HUVEC,CSE
ID3,HUVEC,CSE
STOML1,HUVEC,CSE
ID1,HUVEC,CSE
ARHGEF28,HUVEC,CSE
EMP1,HUVEC,CSE
TIMM23,HUVEC,CSE
CIC,HUVEC,CSE
LPXN,HUVEC,CSE
C1orf107,HUVEC,CSE
TCRA,HUVEC,CSE
CD59,HUVEC,CSE
FRMD4A,HUVEC,CSE
FRMD4B,HUVEC,CSE
PDCL,HUVEC,CSE
ZC3H12A,HUVEC,CSE
PAPSS2,HUVEC,CSE
AVL9,HUVEC,CSE
ANKRD1,HUVEC,CSE
PLOD2,HUVEC,CSE
ESCO2,HUVEC,CSE
FAM155A,HUVEC,CSE
PXN,HUVEC,CSE
CABLES1,HUVEC,CSE
VPS13D,HUVEC,CSE
DGKD,HUVEC,CSE
KIAA1539,HUVEC,CSE
TRAF1,HUVEC,CSE
COL8A1,HUVEC,CSE
TNR,HUVEC,CSE
MAP7D1,HUVEC,CSE
HM13,HUVEC,CSE
PLEKHG2,HUVEC,CSE
NFIB,HUVEC,CSE
ACTN4,HUVEC,CSE
UNC45A,HUVEC,CSE
PCDH7,HUVEC,CSE
CREB3L2,HUVEC,CSE
NEDD4L,HUVEC,CSE
PTPRE,HUVEC,CSE
CTTNBP2NL,HUVEC,CSE
AHNAK2,HUVEC,CSE
NFIX,HUVEC,CSE
PTPRK,HUVEC,CSE
IFT20,HUVEC,OSE
TMCO3,HUVEC,OSE
STK16,HUVEC,OSE
KIAA0317,HUVEC,OSE
LOC100506190,HUVEC,OSE
RNF10,HUVEC,OSE
HUWE1,HUVEC,OSE
OGDH,HUVEC,OSE
C6orf120,HUVEC,OSE
NID1,HUVEC,OSE
GABARAP,HUVEC,OSE
DRAP1,HUVEC,OSE
LOC100506810,HUVEC,OSE
C2CD2,HUVEC,OSE
PLEC1,HUVEC,OSE
DIAPH2,HUVEC,OSE
SLC38A2,HUVEC,OSE
XPC,HUVEC,OSE
LOC100131496,HUVEC,OSE
PIK3C2A,HUVEC,OSE
IQCK,HUVEC,OSE
C19orf50,HUVEC,OSE
TTI1,HUVEC,OSE
SNAP23,HUVEC,OSE
GM2A,HUVEC,OSE
PARP12,HUVEC,OSE
ARHGAP17,HUVEC,OSE
GPR116,HUVEC,OSE
STK38L,HUVEC,OSE
YBX3,HUVEC,OSE
C10orf26,HUVEC,OSE
ATP2A2,HUVEC,OSE
NOVA2,HUVEC,OSE
UBE2D3,HUVEC,OSE
DENND4A,HUVEC,OSE
MLL5,HUVEC,OSE
UFSP2,HUVEC,OSE
CHIC2,HUVEC,OSE
CHCHD1,HUVEC,OSE
XPO6,HUVEC,OSE
DKFZp686H12134,HUVEC,OSE
RNF103-CHMP3,HUVEC,OSE
JAK1,HUVEC,OSE
CPPED1,HUVEC,OSE
HNMT,HUVEC,OSE
CCDC50,HUVEC,OSE
TBC1D2B,HUVEC,OSE
TMEM123,HUVEC,OSE
HOXB2,HUVEC,OSE
FLJ33630,HUVEC,OSE
BC050301,HUVEC,OSE
GSTO1,HUVEC,OSE
MGC39372,HUVEC,OSE
SH3D19,HUVEC,OSE
DNAJC2,HUVEC,OSE
BC034940,HUVEC,OSE
LOC440957,HUVEC,OSE
TMEM195,HUVEC,OSE
WDFY1,HUVEC,OSE
KIAA1377,HUVEC,OSE
IL15RA,HUVEC,OSE
BC047609,HUVEC,OSE
KLHL21,HUVEC,OSE
LIN37,HUVEC,OSE
POLR2B,HUVEC,OSE
SMAD3,HUVEC,OSE
ANKRD37,HUVEC,OSE
REL,HUVEC,OSE
GLS,HUVEC,OSE
GPRC5A,HUVEC,OSE
HTRA1,HUVEC,OSE
NDUFV2,HUVEC,OSE
PELI1,HUVEC,OSE
ARF1,HUVEC,OSE
CKS1B,HUVEC,OSE
HIST1H2BI,HUVEC,OSE
SPARC,HUVEC,OSE
PTTG1,HUVEC,OSE
RBM18,HUVEC,OSE
AREL1,HUVEC,OSE
LOC399815,HUVEC,OSE
TNKS1BP1,HUVEC,OSE
BFAR,HUVEC,OSE
C4ORF45,HUVEC,OSE
ARPM1,HUVEC,OSE
CDCA7L,HUVEC,OSE
KIAA1598,HUVEC,OSE
TPCN1,HUVEC,OSE
NTN4,HUVEC,OSE
FAM176A,HUVEC,OSE
ATP1A1,HUVEC,OSE
BC078172,HUVEC,OSE
LAPTM4A,HUVEC,OSE
TOM1,HUVEC,OSE
HMGB1,HUVEC,OSE
EGFR,HUVEC,OSE
RBM9,HUVEC,OSE
CPEB2,HUVEC,OSE
ALOX5AP,HUVEC,OSE
SLC38A1,HUVEC,OSE
GFOD1,HUVEC,OSE
XXYLT1-AS2,HUVEC,OSE
DQ656015,HUVEC,OSE
TM4SF1,HUVEC,OSE
TMEM255B,HUVEC,OSE
WDR51A,HUVEC,OSE
KLF7,HUVEC,OSE
CLIP4,HUVEC,OSE
PSMC2,HUVEC,OSE
KLF9,HUVEC,OSE
ITGB1,HUVEC,OSE
ITGB8,HUVEC,OSE
NLGN4Y,HUVEC,OSE
KIF18A,HUVEC,OSE
C18orf45,HUVEC,OSE
BNC1,HUVEC,OSE
NCK1,HUVEC,OSE
C2ORF61,HUVEC,OSE
IER2,HUVEC,OSE
ZNF462,HUVEC,OSE
SNX25,HUVEC,OSE
IDI1,HUVEC,OSE
IPMK,HUVEC,OSE
GRPEL2,HUVEC,OSE
ZXDB,HUVEC,OSE
VPS9D1,HUVEC,OSE
NFE2L3,HUVEC,OSE
NFE2L1,HUVEC,OSE
COTL1,HUVEC,OSE
ZNF267,HUVEC,OSE
AMPD2,HUVEC,OSE
PLXND1,HUVEC,OSE
HDGF,HUVEC,OSE
HMG20A,HUVEC,OSE
LIPC,HUVEC,OSE
TBCCD1,HUVEC,OSE
RAB5C,HUVEC,OSE
C4orf14,HUVEC,OSE
DAAM1,HUVEC,OSE
ATP1B1,HUVEC,OSE
BAZ1A,HUVEC,OSE
PTTG1IP,HUVEC,OSE
FN1,HUVEC,OSE
PTGES3,HUVEC,OSE
ARID1A,HUVEC,OSE
VIM,HUVEC,OSE
FAM24B,HUVEC,OSE
CXorf15,HUVEC,OSE
CCL2,HUVEC,OSE
CD2BP2,HUVEC,OSE
NFATC2,HUVEC,OSE
TNFAIP8L3,HUVEC,OSE
SNX5,HUVEC,OSE
LOC100505495,HUVEC,OSE
C16orf7,HUVEC,OSE
METT5D1,HUVEC,OSE
SAP30,HUVEC,OSE
ZNF608,HUVEC,OSE
CSRNP1,HUVEC,OSE
ITPKC,HUVEC,OSE
C10orf58,HUVEC,OSE
CDC42BPB,HUVEC,OSE
TRAF3IP2,HUVEC,OSE
NLK,HUVEC,OSE
ANXA11,HUVEC,OSE
ENG,HUVEC,OSE
GALNT1,HUVEC,OSE
EGLN1,HUVEC,OSE
CEP170,HUVEC,OSE
CD93,HUVEC,OSE
PFN1,HUVEC,OSE
MAOA,HUVEC,OSE
TMEM217,HUVEC,OSE
DEPDC5,HUVEC,OSE
NSD1,HUVEC,OSE
HHIP,HUVEC,OSE
EEF1E1,HUVEC,OSE
RALA,HUVEC,OSE
MIR181A1HG,HUVEC,OSE
MIRLET7BHG,HUVEC,OSE
KIAA1462,HUVEC,OSE
SH3BP4,HUVEC,OSE
MAGT1,HUVEC,OSE
SH3BP2,HUVEC,OSE
SPRY4,HUVEC,OSE
MALAT1,HUVEC,OSE
C7orf10,HUVEC,OSE
IFT140,HUVEC,OSE
ZBTB17,HUVEC,OSE
GAS2L3,HUVEC,OSE
DNAJB1,HUVEC,OSE
INO80C,HUVEC,OSE
WDR26,HUVEC,OSE
WDR27,HUVEC,OSE
CIB1,HUVEC,OSE
FGD4,HUVEC,OSE
MTMR11,HUVEC,OSE
PHACTR2,HUVEC,OSE
FIGNL1,HUVEC,OSE
TBL1X,HUVEC,OSE
FRMD6-AS2,HUVEC,OSE
UHRF2,HUVEC,OSE
TJP1,HUVEC,OSE
LRRFIP2,HUVEC,OSE
LOC100507156,HUVEC,OSE
RNF149,HUVEC,OSE
HOXA2,HUVEC,OSE
HOXA1,HUVEC,OSE
RNF145,HUVEC,OSE
SF3B4,HUVEC,OSE
TCEB1,HUVEC,OSE
MSH5,HUVEC,OSE
SLU7,HUVEC,OSE
HOTAIRM1,HUVEC,OSE
BC005927,HUVEC,OSE
HDGFRP3,HUVEC,OSE
C6orf105,HUVEC,OSE
ARHGDIB,HUVEC,OSE
PACSIN2,HUVEC,OSE
AK098067,HUVEC,OSE
ST3GAL6,HUVEC,OSE
CDC42EP3,HUVEC,OSE
TMEM245,HUVEC,OSE
PSME4,HUVEC,OSE
RTEL1-TNFRSF6B,HUVEC,OSE
HIST1H3G,HUVEC,OSE
HIST1H3D,HUVEC,OSE
HIST1H3H,HUVEC,OSE
PBX2,HUVEC,OSE
GIT2,HUVEC,OSE
VAMP5,HUVEC,OSE
DPH5,HUVEC,OSE
ETAA1,HUVEC,OSE
NOTCH1,HUVEC,OSE
CDC45L,HUVEC,OSE
ARHGAP31,HUVEC,OSE
CUL4B,HUVEC,OSE
PTCH1,HUVEC,OSE
ADD3,HUVEC,OSE
C19orf6,HUVEC,OSE
RAPGEF5,HUVEC,OSE
TXNDC5,HUVEC,OSE
AXL,HUVEC,OSE
FURIN,HUVEC,OSE
GADD45A,HUVEC,OSE
TFB2M,HUVEC,OSE
CARD8,HUVEC,OSE
TAOK2,HUVEC,OSE
PGD,HUVEC,OSE
CCDC75,HUVEC,OSE
SNTG1,HUVEC,OSE
CREB1,HUVEC,OSE
NR2C2,HUVEC,OSE
B4GALT1,HUVEC,OSE
CTSZ,HUVEC,OSE
KIAA1797,HUVEC,OSE
LRRC70,HUVEC,OSE
XAF1,HUVEC,OSE
MRRF,HUVEC,OSE
ZFAS1,HUVEC,OSE
ZFAND5,HUVEC,OSE
RAI14,HUVEC,OSE
PTPN14,HUVEC,OSE
SPEN,HUVEC,OSE
MAFK,HUVEC,OSE
BMPR2,HUVEC,OSE
ZNF276,HUVEC,OSE
FKBP1A,HUVEC,OSE
ZBTB22,HUVEC,OSE
RNF217,HUVEC,OSE
CNST,HUVEC,OSE
DDI2,HUVEC,OSE
RRP8,HUVEC,OSE
C4orf23,HUVEC,OSE
EF070122,HUVEC,OSE
FBLIM1,HUVEC,OSE
SKI,HUVEC,OSE
SUCO,HUVEC,OSE
DAXX,HUVEC,OSE
ECSCR,HUVEC,OSE
MEIS2,HUVEC,OSE
CLDND2,HUVEC,OSE
DNAJB11,HUVEC,OSE
SYT11,HUVEC,OSE
TMEM70,HUVEC,OSE
C15ORF54,HUVEC,OSE
B4GALT5,HUVEC,OSE
CHEK1,HUVEC,OSE
DNMBP-AS1,HUVEC,OSE
ID3,HUVEC,OSE
MIER1,HUVEC,OSE
TSHZ1,HUVEC,OSE
EPN2,HUVEC,OSE
UBA3,HUVEC,OSE
MRPL1,HUVEC,OSE
LINC00598,HUVEC,OSE
PHF23,HUVEC,OSE
UBE2H,HUVEC,OSE
IL13RA1,HUVEC,OSE
